ticker,loss,mae,mape,r2
ADP,0.002309640636667609,0.03934118151664734,0.05044118557768847,0.778732031453902
GILD,0.00478097889572382,0.05135659873485565,0.06836716655566068,0.7883918701374832
LRCX,0.0025219880044460297,0.04172990843653679,0.08908976173627733,0.8315073918758338
VRTX,0.006037653423845768,0.06446177512407303,0.10388632949812047,0.33220343641482675
ADI,0.0018953861435875297,0.033754974603652954,0.04840163525284955,0.8440811057580215
REGN,0.0033173137344419956,0.051651448011398315,0.07376797882331254,0.016866527871041592
MU,0.0007295007235370576,0.01773146726191044,0.06171095422214605,0.872412442502725
SNPS,0.007786779664456844,0.0706084817647934,0.1125059362674779,0.5525936217120891
PANW,0.003768926253542304,0.04672153294086456,0.08955811993401774,0.7256757229471069
KLAC,0.0026905913837254047,0.04010169953107834,0.07911845958225665,0.6864969057689747
MELI,0.0008994474192149937,0.018903130665421486,0.04340140429925382,0.9526912184694417
CDNS,0.011712987907230854,0.09509403258562088,0.1574980396118355,0.22418824416423655
PYPL,0.0013349303044378757,0.028520213440060616,970252373127.672,0.2256354929941019
CHTR,0.0012640680652111769,0.025990409776568413,0.14933153036906044,0.7867175872641291
CSX,0.0011299586622044444,0.022639771923422813,0.033673355953170905,0.8115554913759307
MAR,0.002531320322304964,0.03870806843042374,0.0613298356658936,0.710222976698117
ORLY,0.01979454979300499,0.12906679511070251,0.18268913842891507,-2.9703855816131033
MNST,0.004600453656166792,0.05728213116526604,0.06924077223366959,0.6482680922481077
CTAS,0.006808089092373848,0.07619744539260864,0.13082220659398713,-0.7435753223693107
LULU,0.0009828503243625164,0.019686751067638397,0.03417297144786768,0.9209026705431661
WDAY,0.001067755976691842,0.021313875913619995,0.0644648923216226,0.9674761858348148
PCAR,0.011357840150594711,0.08410084992647171,0.16315308078982543,-0.3500089893778735
CPRT,0.005868598353117704,0.061352767050266266,0.09951249503584321,0.7368381077008115
ADSK,0.0010093022137880325,0.01976950466632843,0.06004932946283157,0.7023865465371222
MCHP,0.002863859059289098,0.03997943922877312,0.05279604026901348,0.7624335877290112
